model,dataset,condition,signal,auroc,auroc_max,auroc_mean,auroc_attn_mean,n_questions
llama31_8b,triviaqa,C1,blackbox,0.843151,,,,1000
llama31_8b,triviaqa,C1,whitebox,0.781801,,,,1000
llama31_8b,triviaqa,C2,blackbox,0.709474,,,,1000
llama31_8b,triviaqa,C2,whitebox,0.691712,,,,1000
llama31_8b,triviaqa,C3,blackbox,0.864022,,,,1000
llama31_8b,triviaqa,C3,whitebox,0.820879,,,,1000
llama31_8b,triviaqa,C4,blackbox,0.677258,0.677258,0.629254,,1000
llama31_8b,triviaqa,C4,whitebox,0.784557,0.784557,0.772933,0.785183,1000
llama31_8b,nqopen,C1,blackbox,0.727875,,,,1000
llama31_8b,nqopen,C1,whitebox,0.739646,,,,1000
llama31_8b,nqopen,C2,blackbox,0.644902,,,,1000
llama31_8b,nqopen,C2,whitebox,0.671985,,,,1000
llama31_8b,nqopen,C3,blackbox,0.742304,,,,1000
llama31_8b,nqopen,C3,whitebox,0.742663,,,,1000
llama31_8b,nqopen,C4,blackbox,0.642215,0.642215,0.634049,,1000
llama31_8b,nqopen,C4,whitebox,0.707190,0.707190,0.707174,0.724341,1000
llama31_8b,morehopqa,C1,blackbox,0.365630,,,,1000
llama31_8b,morehopqa,C1,whitebox,0.465034,,,,1000
llama31_8b,morehopqa,C2,blackbox,0.545577,,,,1000
llama31_8b,morehopqa,C2,whitebox,0.644226,,,,1000
llama31_8b,morehopqa,C3,blackbox,0.681401,,,,1000
llama31_8b,morehopqa,C3,whitebox,0.638517,,,,1000
llama31_8b,morehopqa,C4,blackbox,0.590149,0.590149,0.712658,,1000
llama31_8b,morehopqa,C4,whitebox,0.648775,0.648775,0.681058,0.664333,1000
mistral7b_v03,triviaqa,C1,blackbox,0.796265,,,,1000
mistral7b_v03,triviaqa,C1,whitebox,0.747288,,,,1000
mistral7b_v03,triviaqa,C2,blackbox,0.721801,,,,1000
mistral7b_v03,triviaqa,C2,whitebox,0.662549,,,,1000
mistral7b_v03,triviaqa,C3,blackbox,0.840863,,,,1000
mistral7b_v03,triviaqa,C3,whitebox,0.694280,,,,1000
mistral7b_v03,triviaqa,C4,blackbox,0.761708,0.761708,0.692882,,1000
mistral7b_v03,triviaqa,C4,whitebox,0.677468,0.677468,0.681713,0.694707,1000
mistral7b_v03,nqopen,C1,blackbox,0.727568,,,,1000
mistral7b_v03,nqopen,C1,whitebox,0.691248,,,,1000
mistral7b_v03,nqopen,C2,blackbox,0.671440,,,,1000
mistral7b_v03,nqopen,C2,whitebox,0.694526,,,,1000
mistral7b_v03,nqopen,C3,blackbox,0.762447,,,,1000
mistral7b_v03,nqopen,C3,whitebox,0.683495,,,,1000
mistral7b_v03,nqopen,C4,blackbox,0.685351,0.685351,0.639346,,1000
mistral7b_v03,nqopen,C4,whitebox,0.588356,0.588356,0.582730,0.583200,1000
mistral7b_v03,morehopqa,C1,blackbox,0.524607,,,,1000
mistral7b_v03,morehopqa,C1,whitebox,0.483721,,,,1000
mistral7b_v03,morehopqa,C2,blackbox,0.555106,,,,1000
mistral7b_v03,morehopqa,C2,whitebox,0.511012,,,,1000
mistral7b_v03,morehopqa,C3,blackbox,0.680355,,,,1000
mistral7b_v03,morehopqa,C3,whitebox,0.543849,,,,1000
mistral7b_v03,morehopqa,C4,blackbox,0.579957,0.579957,0.579314,,1000
mistral7b_v03,morehopqa,C4,whitebox,0.577951,0.577951,0.576483,0.581690,1000
