model,dataset,condition,signal,aggregation,auroc,ci_lo,ci_hi,n_boot,bootstrap_seed
llama31_8b,triviaqa,C1,blackbox,,0.843151,0.812604,0.870041,2000,0
llama31_8b,triviaqa,C2,blackbox,,0.709474,0.665217,0.755029,2000,0
llama31_8b,triviaqa,C3,blackbox,,0.864022,0.837827,0.889352,2000,0
llama31_8b,triviaqa,C4,blackbox,max,0.677258,0.635721,0.716154,2000,0
llama31_8b,triviaqa,C4,blackbox,mean,0.629254,0.588098,0.666264,2000,0
llama31_8b,triviaqa,C1,whitebox,,0.781801,0.748923,0.813472,2000,0
llama31_8b,triviaqa,C2,whitebox,,0.691712,0.650922,0.730562,2000,0
llama31_8b,triviaqa,C3,whitebox,,0.820879,0.791570,0.847118,2000,0
llama31_8b,triviaqa,C4,whitebox,max,0.784557,0.751696,0.816606,2000,0
llama31_8b,triviaqa,C4,whitebox,mean,0.772933,0.739220,0.804230,2000,0
llama31_8b,triviaqa,C4,whitebox,attn_mean,0.785183,0.752906,0.815588,2000,0
llama31_8b,nqopen,C1,blackbox,,0.727875,0.696064,0.758394,2000,0
llama31_8b,nqopen,C2,blackbox,,0.644902,0.607291,0.683158,2000,0
llama31_8b,nqopen,C3,blackbox,,0.742304,0.710585,0.772977,2000,0
llama31_8b,nqopen,C4,blackbox,max,0.642215,0.605752,0.675969,2000,0
llama31_8b,nqopen,C4,blackbox,mean,0.634049,0.599240,0.668601,2000,0
llama31_8b,nqopen,C1,whitebox,,0.739646,0.703771,0.772588,2000,0
llama31_8b,nqopen,C2,whitebox,,0.671985,0.635630,0.706103,2000,0
llama31_8b,nqopen,C3,whitebox,,0.742663,0.710286,0.773152,2000,0
llama31_8b,nqopen,C4,whitebox,max,0.707190,0.674735,0.739592,2000,0
llama31_8b,nqopen,C4,whitebox,mean,0.707174,0.674693,0.738772,2000,0
llama31_8b,nqopen,C4,whitebox,attn_mean,0.724341,0.692570,0.755774,2000,0
llama31_8b,morehopqa,C1,blackbox,,0.365630,0.320389,0.408144,2000,0
llama31_8b,morehopqa,C2,blackbox,,0.545577,0.505067,0.587360,2000,0
llama31_8b,morehopqa,C3,blackbox,,0.681401,0.641382,0.722389,2000,0
llama31_8b,morehopqa,C4,blackbox,max,0.590149,0.538488,0.643848,2000,0
llama31_8b,morehopqa,C4,blackbox,mean,0.712658,0.667794,0.754998,2000,0
llama31_8b,morehopqa,C1,whitebox,,0.465034,0.417473,0.514113,2000,0
llama31_8b,morehopqa,C2,whitebox,,0.644226,0.602417,0.686195,2000,0
llama31_8b,morehopqa,C3,whitebox,,0.638517,0.594124,0.681786,2000,0
llama31_8b,morehopqa,C4,whitebox,max,0.648775,0.600044,0.697132,2000,0
llama31_8b,morehopqa,C4,whitebox,mean,0.681058,0.633564,0.725627,2000,0
llama31_8b,morehopqa,C4,whitebox,attn_mean,0.664333,0.615427,0.710334,2000,0
mistral7b_v03,triviaqa,C1,blackbox,,0.796265,0.763240,0.829671,2000,0
mistral7b_v03,triviaqa,C2,blackbox,,0.721801,0.683942,0.759398,2000,0
mistral7b_v03,triviaqa,C3,blackbox,,0.840863,0.810749,0.869309,2000,0
mistral7b_v03,triviaqa,C4,blackbox,max,0.761708,0.728478,0.795204,2000,0
mistral7b_v03,triviaqa,C4,blackbox,mean,0.692882,0.656745,0.727233,2000,0
mistral7b_v03,triviaqa,C1,whitebox,,0.747288,0.714273,0.781030,2000,0
mistral7b_v03,triviaqa,C2,whitebox,,0.662549,0.626117,0.701692,2000,0
mistral7b_v03,triviaqa,C3,whitebox,,0.694280,0.658510,0.731239,2000,0
mistral7b_v03,triviaqa,C4,whitebox,max,0.677468,0.640072,0.713108,2000,0
mistral7b_v03,triviaqa,C4,whitebox,mean,0.681713,0.644580,0.717109,2000,0
mistral7b_v03,triviaqa,C4,whitebox,attn_mean,0.694707,0.658319,0.729082,2000,0
mistral7b_v03,nqopen,C1,blackbox,,0.727568,0.695642,0.758330,2000,0
mistral7b_v03,nqopen,C2,blackbox,,0.671440,0.636698,0.703159,2000,0
mistral7b_v03,nqopen,C3,blackbox,,0.762447,0.732267,0.792621,2000,0
mistral7b_v03,nqopen,C4,blackbox,max,0.685351,0.651549,0.718035,2000,0
mistral7b_v03,nqopen,C4,blackbox,mean,0.639346,0.604802,0.673893,2000,0
mistral7b_v03,nqopen,C1,whitebox,,0.691248,0.657123,0.726215,2000,0
mistral7b_v03,nqopen,C2,whitebox,,0.694526,0.660144,0.727505,2000,0
mistral7b_v03,nqopen,C3,whitebox,,0.683495,0.648933,0.715933,2000,0
mistral7b_v03,nqopen,C4,whitebox,max,0.588356,0.552065,0.623608,2000,0
mistral7b_v03,nqopen,C4,whitebox,mean,0.582730,0.545198,0.616753,2000,0
mistral7b_v03,nqopen,C4,whitebox,attn_mean,0.583200,0.545685,0.618007,2000,0
mistral7b_v03,morehopqa,C1,blackbox,,0.524607,0.476920,0.572246,2000,0
mistral7b_v03,morehopqa,C2,blackbox,,0.555106,0.514958,0.592505,2000,0
mistral7b_v03,morehopqa,C3,blackbox,,0.680355,0.638872,0.720950,2000,0
mistral7b_v03,morehopqa,C4,blackbox,max,0.579957,0.532985,0.626365,2000,0
mistral7b_v03,morehopqa,C4,blackbox,mean,0.579314,0.534877,0.625459,2000,0
mistral7b_v03,morehopqa,C1,whitebox,,0.483721,0.438948,0.529055,2000,0
mistral7b_v03,morehopqa,C2,whitebox,,0.511012,0.473970,0.550008,2000,0
mistral7b_v03,morehopqa,C3,whitebox,,0.543849,0.497731,0.589727,2000,0
mistral7b_v03,morehopqa,C4,whitebox,max,0.577951,0.531523,0.623331,2000,0
mistral7b_v03,morehopqa,C4,whitebox,mean,0.576483,0.531294,0.624312,2000,0
mistral7b_v03,morehopqa,C4,whitebox,attn_mean,0.581690,0.534212,0.627144,2000,0
