model,dataset,signal,family,method,variant,auroc,ci_lo,ci_hi,hallucination_rate,n_questions,in_figure,n_boot,bootstrap_seed,source_file
llama31_8b,morehopqa,blackbox,baseline,SelfCheckGPT-NLI,,0.501166,0.462315,0.539786,0.714000,1000,True,2000,0,results/selfcheck-gpt/selfcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,blackbox,baseline,SemanticEntropy,se_discrete,0.568126,0.527005,0.607335,0.714000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
llama31_8b,morehopqa,blackbox,kle,C2,,0.545577,0.505067,0.587360,0.714000,1000,True,2000,0,results/black-box/morehopqa/c2_morehopqa_8b_BB_results.json
llama31_8b,morehopqa,blackbox,kle,C3,,0.681401,0.641382,0.722389,0.813000,1000,True,2000,0,results/black-box/morehopqa/c3_morehopqa_8b_BB_results.json
llama31_8b,morehopqa,blackbox,kle,C4,max,0.590149,0.538488,0.643848,0.846000,1000,True,2000,0,results/black-box/morehopqa/c4_morehopqa_8b_BB_results.json
llama31_8b,morehopqa,blackbox,kle,C4,mean,0.712658,0.667794,0.754998,0.846000,1000,True,2000,0,results/black-box/morehopqa/c4_morehopqa_8b_BB_results.json
llama31_8b,morehopqa,whitebox,baseline,LLM-Check,attn,0.360600,0.325745,0.395741,0.731000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,whitebox,baseline,LLM-Check,hidden,0.481247,0.447308,0.517683,0.731000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,whitebox,baseline,LLM-Check,logit_entropy,0.708842,0.674262,0.743438,0.731000,1000,True,2000,0,results/llm-check/llmcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,whitebox,baseline,LLM-Check,ppl,0.682566,0.647479,0.716121,0.731000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,whitebox,baseline,LLM-Check,window_entropy,0.592955,0.552062,0.633266,0.731000,1000,False,2000,0,results/llm-check/llmcheck_c2_morehopqa_8b_results.json
llama31_8b,morehopqa,whitebox,baseline,SemanticEntropy,se_weighted,0.570366,0.528903,0.610880,0.714000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
llama31_8b,morehopqa,whitebox,kle,C2,,0.644226,0.602417,0.686195,0.731000,1000,True,2000,0,results/white-box/morehopqa/c2_morehopqa_8b_WB_results.json
llama31_8b,morehopqa,whitebox,kle,C3,,0.638517,0.594124,0.681786,0.808000,1000,True,2000,0,results/white-box/morehopqa/c3_morehopqa_8b_WB_results.json
llama31_8b,morehopqa,whitebox,kle,C4,attn_mean,0.664333,0.615427,0.710334,0.846000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_8b_WB_results.json
llama31_8b,morehopqa,whitebox,kle,C4,max,0.648775,0.600044,0.697132,0.846000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_8b_WB_results.json
llama31_8b,morehopqa,whitebox,kle,C4,mean,0.681058,0.633564,0.725627,0.846000,1000,True,2000,0,results/white-box/morehopqa/c4_morehopqa_8b_WB_results.json
llama31_8b,nqopen,blackbox,baseline,SelfCheckGPT-NLI,,0.675084,0.638019,0.710842,0.305000,1000,True,2000,0,results/selfcheck-gpt/selfcheck_c2_nqopen_8b_results.json
llama31_8b,nqopen,blackbox,baseline,SemanticEntropy,se_discrete,0.626074,0.588196,0.662926,0.305000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
llama31_8b,nqopen,blackbox,kle,C2,,0.644902,0.607291,0.683158,0.305000,1000,True,2000,0,results/black-box/nqopen/c2_nqopen_8b_BB_results.json
llama31_8b,nqopen,blackbox,kle,C3,,0.742304,0.710585,0.772977,0.387000,1000,True,2000,0,results/black-box/nqopen/c3_nqopen_8b_BB_results.json
llama31_8b,nqopen,blackbox,kle,C4,max,0.642215,0.605752,0.675969,0.439000,1000,True,2000,0,results/black-box/nqopen/c4_nqopen_8b_BB_results.json
llama31_8b,nqopen,blackbox,kle,C4,mean,0.634049,0.599240,0.668601,0.439000,1000,True,2000,0,results/black-box/nqopen/c4_nqopen_8b_BB_results.json
llama31_8b,nqopen,whitebox,baseline,LLM-Check,attn,0.434525,0.396787,0.471382,0.305000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_8b_results.json
llama31_8b,nqopen,whitebox,baseline,LLM-Check,hidden,0.391655,0.353561,0.430990,0.305000,1000,False,2000,0,results/llm-check/llmcheck_c2_nqopen_8b_results.json
