model,dataset,signal,label,step_index,n_chains,mean_score,sem_score,mean_clusters
llama31_8b,morehopqa,blackbox,hallucinated,1,708,1.589485,0.019308,6.738701
llama31_8b,morehopqa,blackbox,hallucinated,2,708,1.563851,0.019171,6.646893
llama31_8b,morehopqa,blackbox,hallucinated,3,689,1.510193,0.019816,6.480406
llama31_8b,morehopqa,blackbox,hallucinated,4,670,1.505890,0.020645,6.526866
llama31_8b,morehopqa,blackbox,hallucinated,5,645,1.607619,0.016299,7.100775
llama31_8b,morehopqa,blackbox,correct,1,153,1.517155,0.040240,6.418301
llama31_8b,morehopqa,blackbox,correct,2,153,1.361497,0.050149,5.784314
llama31_8b,morehopqa,blackbox,correct,3,153,1.260888,0.042458,5.137255
llama31_8b,morehopqa,blackbox,correct,4,153,1.269694,0.051610,5.241830
llama31_8b,morehopqa,blackbox,correct,5,152,1.395251,0.045041,6.026316
llama31_8b,morehopqa,whitebox,hallucinated,1,708,0.928283,0.014398,
llama31_8b,morehopqa,whitebox,hallucinated,2,708,0.873440,0.016124,
llama31_8b,morehopqa,whitebox,hallucinated,3,689,0.863309,0.015701,
llama31_8b,morehopqa,whitebox,hallucinated,4,670,0.839235,0.016158,
llama31_8b,morehopqa,whitebox,hallucinated,5,645,1.010784,0.017361,
llama31_8b,morehopqa,whitebox,correct,1,153,0.890002,0.029896,
llama31_8b,morehopqa,whitebox,correct,2,153,0.752986,0.034138,
llama31_8b,morehopqa,whitebox,correct,3,153,0.738664,0.033028,
llama31_8b,morehopqa,whitebox,correct,4,153,0.698945,0.034732,
llama31_8b,morehopqa,whitebox,correct,5,152,0.827082,0.036367,
mistral7b_v03,morehopqa,blackbox,hallucinated,1,809,1.721408,0.016200,7.199011
mistral7b_v03,morehopqa,blackbox,hallucinated,2,809,1.609372,0.018588,6.758962
mistral7b_v03,morehopqa,blackbox,hallucinated,3,800,1.634330,0.017968,6.946250
mistral7b_v03,morehopqa,blackbox,hallucinated,4,762,1.644844,0.017712,7.023622
mistral7b_v03,morehopqa,blackbox,hallucinated,5,650,1.540873,0.019236,6.584615
mistral7b_v03,morehopqa,blackbox,correct,1,168,1.656251,0.036598,6.785714
mistral7b_v03,morehopqa,blackbox,correct,2,168,1.542007,0.040253,6.422619
mistral7b_v03,morehopqa,blackbox,correct,3,164,1.504720,0.043292,6.335366
mistral7b_v03,morehopqa,blackbox,correct,4,151,1.615832,0.035172,6.841060
mistral7b_v03,morehopqa,blackbox,correct,5,120,1.327756,0.045022,5.525000
mistral7b_v03,morehopqa,whitebox,hallucinated,1,809,1.023106,0.015528,
mistral7b_v03,morehopqa,whitebox,hallucinated,2,809,1.067385,0.017422,
mistral7b_v03,morehopqa,whitebox,hallucinated,3,800,1.142888,0.017553,
mistral7b_v03,morehopqa,whitebox,hallucinated,4,762,1.109756,0.018085,
mistral7b_v03,morehopqa,whitebox,hallucinated,5,650,1.003746,0.018002,
mistral7b_v03,morehopqa,whitebox,correct,1,168,0.988004,0.034310,
mistral7b_v03,morehopqa,whitebox,correct,2,168,1.026479,0.037143,
mistral7b_v03,morehopqa,whitebox,correct,3,164,1.007338,0.040054,
mistral7b_v03,morehopqa,whitebox,correct,4,151,1.066823,0.034847,
mistral7b_v03,morehopqa,whitebox,correct,5,120,0.821894,0.039097,
