model,dataset,signal,condition,mean_gen_tokens,mean_fwd_tokens,mean_total_tokens,auroc
Llama-3.1-8B,TriviaQA,White-box,C1,263.261000,917.081000,1180.342000,0.781801
Llama-3.1-8B,TriviaQA,White-box,C2,1192.887000,2087.617000,3280.504000,0.691712
Llama-3.1-8B,TriviaQA,White-box,C3,1048.391000,2063.121000,3111.512000,0.820879
Llama-3.1-8B,TriviaQA,White-box,C4,2069.034000,6023.064000,8092.098000,0.784557
Llama-3.1-8B,NQ-Open,White-box,C1,357.535000,930.615000,1288.150000,0.739646
Llama-3.1-8B,NQ-Open,White-box,C2,1336.285000,2159.335000,3495.620000,0.671985
Llama-3.1-8B,NQ-Open,White-box,C3,1200.180000,2143.230000,3343.410000,0.742663
Llama-3.1-8B,NQ-Open,White-box,C4,2241.341000,6472.881000,8714.222000,0.707190
Llama-3.1-8B,MoreHopQA,White-box,C1,327.313000,1069.633000,1396.946000,0.465034
Llama-3.1-8B,MoreHopQA,White-box,C2,1560.161000,2542.501000,4102.662000,0.644226
Llama-3.1-8B,MoreHopQA,White-box,C3,1618.934000,2721.274000,4340.208000,0.638517
Llama-3.1-8B,MoreHopQA,White-box,C4,3273.535000,11894.268000,15167.803000,0.648775
Llama-3.1-8B,TriviaQA,Black-box,C1,274.877000,0.000000,274.877000,0.843151
Llama-3.1-8B,TriviaQA,Black-box,C2,1205.376000,0.000000,1205.376000,0.709474
Llama-3.1-8B,TriviaQA,Black-box,C3,1060.712000,0.000000,1060.712000,0.864022
Llama-3.1-8B,TriviaQA,Black-box,C4,2069.034000,0.000000,2069.034000,0.677258
Llama-3.1-8B,NQ-Open,Black-box,C1,365.854000,0.000000,365.854000,0.727875
Llama-3.1-8B,NQ-Open,Black-box,C2,1342.048000,0.000000,1342.048000,0.644902
Llama-3.1-8B,NQ-Open,Black-box,C3,1203.508000,0.000000,1203.508000,0.742304
Llama-3.1-8B,NQ-Open,Black-box,C4,2241.341000,0.000000,2241.341000,0.642215
Llama-3.1-8B,MoreHopQA,Black-box,C1,338.664000,0.000000,338.664000,0.365630
Llama-3.1-8B,MoreHopQA,Black-box,C2,1562.367000,0.000000,1562.367000,0.545577
Llama-3.1-8B,MoreHopQA,Black-box,C3,1625.717000,0.000000,1625.717000,0.681401
Llama-3.1-8B,MoreHopQA,Black-box,C4,3273.535000,0.000000,3273.535000,0.590149
Mistral-7B,TriviaQA,White-box,C1,251.186000,633.097000,884.283000,0.747288
Mistral-7B,TriviaQA,White-box,C2,970.455000,1636.408000,2606.863000,0.662549
Mistral-7B,TriviaQA,White-box,C3,864.667000,1664.268000,2528.935000,0.694280
Mistral-7B,TriviaQA,White-box,C4,2213.624000,5529.638000,7743.262000,0.677468
Mistral-7B,NQ-Open,White-box,C1,297.973000,582.155000,880.128000,0.691248
Mistral-7B,NQ-Open,White-box,C2,971.550000,1542.787000,2514.337000,0.694526
Mistral-7B,NQ-Open,White-box,C3,926.173000,1628.626000,2554.799000,0.683495
Mistral-7B,NQ-Open,White-box,C4,2277.912000,5190.476000,7468.388000,0.588356
Mistral-7B,MoreHopQA,White-box,C1,461.913000,935.340000,1397.253000,0.483721
Mistral-7B,MoreHopQA,White-box,C2,1705.804000,2461.965000,4167.769000,0.511012
Mistral-7B,MoreHopQA,White-box,C3,1596.797000,2484.113000,4080.910000,0.543849
Mistral-7B,MoreHopQA,White-box,C4,3779.311000,11793.898000,15573.209000,0.577951
Mistral-7B,TriviaQA,Black-box,C1,260.540000,0.000000,260.540000,0.796265
Mistral-7B,TriviaQA,Black-box,C2,979.494000,0.000000,979.494000,0.721801
Mistral-7B,TriviaQA,Black-box,C3,876.207000,0.000000,876.207000,0.840863
Mistral-7B,TriviaQA,Black-box,C4,2213.624000,0.000000,2213.624000,0.761708
Mistral-7B,NQ-Open,Black-box,C1,307.243000,0.000000,307.243000,0.727568
Mistral-7B,NQ-Open,Black-box,C2,980.411000,0.000000,980.411000,0.671440
Mistral-7B,NQ-Open,Black-box,C3,935.072000,0.000000,935.072000,0.762447
Mistral-7B,NQ-Open,Black-box,C4,2277.912000,0.000000,2277.912000,0.685351
Mistral-7B,MoreHopQA,Black-box,C1,470.286000,0.000000,470.286000,0.524607
Mistral-7B,MoreHopQA,Black-box,C2,1709.392000,0.000000,1709.392000,0.555106
Mistral-7B,MoreHopQA,Black-box,C3,1613.766000,0.000000,1613.766000,0.680355
Mistral-7B,MoreHopQA,Black-box,C4,3779.311000,0.000000,3779.311000,0.579957
