model,dataset,signal,family,method,variant,metric,value,ci_lo,ci_hi,chance,higher_is_better,hallucination_rate,n_questions,n_boot,bootstrap_seed
llama31_8b,triviaqa,blackbox,kle,C1,,AUPRC,0.675487,0.613563,0.730040,0.244000,True,0.244000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C1,,PRR,0.762958,0.701879,0.812006,0.000000,True,0.244000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C1,,FPR@95TPR,0.619048,0.507339,0.717647,0.950000,False,0.244000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C1,,AUARC,0.917245,0.898882,0.933099,0.756000,True,0.244000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C2,,AUPRC,0.411331,0.348690,0.490573,0.190000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C2,,PRR,0.396112,0.258312,0.536253,0.000000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C2,,FPR@95TPR,0.961728,0.850544,0.983791,0.950000,False,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C2,,AUARC,0.877572,0.849036,0.906460,0.810000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C3,,AUPRC,0.656867,0.593502,0.726871,0.239000,True,0.239000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C3,,PRR,0.807157,0.758140,0.850130,0.000000,True,0.239000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C3,,FPR@95TPR,0.512484,0.416006,0.621056,0.950000,False,0.239000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C3,,AUARC,0.928668,0.913196,0.943047,0.761000,True,0.239000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,max,AUPRC,0.472646,0.413174,0.540274,0.265000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,max,PRR,0.351621,0.237339,0.457590,0.000000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,max,FPR@95TPR,0.915646,0.862043,0.944306,0.950000,False,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,max,AUARC,0.814524,0.780053,0.846821,0.735000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,mean,AUPRC,0.411309,0.350901,0.468236,0.265000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,mean,PRR,0.293635,0.186051,0.401507,0.000000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,mean,FPR@95TPR,0.917007,0.859431,0.952196,0.950000,False,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,kle,C4,mean,AUARC,0.801409,0.767636,0.835079,0.735000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,blackbox,baseline,SelfCheckGPT-NLI,,AUPRC,0.472553,0.404705,0.552757,0.190000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,baseline,SelfCheckGPT-NLI,,PRR,0.674987,0.598788,0.745824,0.000000,True,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,baseline,SelfCheckGPT-NLI,,FPR@95TPR,0.675309,0.575179,0.831039,0.950000,False,0.190000,1000,2000,0
llama31_8b,triviaqa,blackbox,baseline,SelfCheckGPT-NLI,,AUARC,0.925145,0.907598,0.941561,0.810000,True,0.190000,1000,2000,0
