model,dataset,signal,condition,aggregation,hallucination_rate,auroc,auroc_ci_lo,auroc_ci_hi,n_questions
llama31_8b,triviaqa,blackbox,C1,,0.244000,0.843151,0.812604,0.870041,1000
llama31_8b,triviaqa,blackbox,C2,,0.190000,0.709474,0.665217,0.755029,1000
llama31_8b,triviaqa,blackbox,C3,,0.239000,0.864022,0.837827,0.889352,1000
llama31_8b,triviaqa,blackbox,C4,max,0.265000,0.677258,0.635721,0.716154,1000
llama31_8b,triviaqa,whitebox,C1,,0.243000,0.781801,0.748923,0.813472,1000
llama31_8b,triviaqa,whitebox,C2,,0.189000,0.691712,0.650922,0.730562,1000
llama31_8b,triviaqa,whitebox,C3,,0.246000,0.820879,0.791570,0.847118,1000
llama31_8b,triviaqa,whitebox,C4,max,0.265000,0.784557,0.751696,0.816606,1000
llama31_8b,nqopen,blackbox,C1,,0.333000,0.727875,0.696064,0.758394,1000
llama31_8b,nqopen,blackbox,C2,,0.305000,0.644902,0.607291,0.683158,1000
llama31_8b,nqopen,blackbox,C3,,0.387000,0.742304,0.710585,0.772977,1000
llama31_8b,nqopen,blackbox,C4,max,0.439000,0.642215,0.605752,0.675969,1000
llama31_8b,nqopen,whitebox,C1,,0.326000,0.739646,0.703771,0.772588,1000
llama31_8b,nqopen,whitebox,C2,,0.305000,0.671985,0.635630,0.706103,1000
llama31_8b,nqopen,whitebox,C3,,0.403000,0.742663,0.710286,0.773152,1000
llama31_8b,nqopen,whitebox,C4,max,0.439000,0.707190,0.674735,0.739592,1000
llama31_8b,morehopqa,blackbox,C1,,0.820000,0.365630,0.320389,0.408144,1000
llama31_8b,morehopqa,blackbox,C2,,0.714000,0.545577,0.505067,0.587360,1000
llama31_8b,morehopqa,blackbox,C3,,0.813000,0.681401,0.641382,0.722389,1000
llama31_8b,morehopqa,blackbox,C4,max,0.846000,0.590149,0.538488,0.643848,1000
llama31_8b,morehopqa,whitebox,C1,,0.821000,0.465034,0.417473,0.514113,1000
llama31_8b,morehopqa,whitebox,C2,,0.731000,0.644226,0.602417,0.686195,1000
llama31_8b,morehopqa,whitebox,C3,,0.808000,0.638517,0.594124,0.681786,1000
llama31_8b,morehopqa,whitebox,C4,max,0.846000,0.648775,0.600044,0.697132,1000
mistral7b_v03,triviaqa,blackbox,C1,,0.266000,0.796265,0.763240,0.829671,1000
mistral7b_v03,triviaqa,blackbox,C2,,0.268000,0.721801,0.683942,0.759398,1000
mistral7b_v03,triviaqa,blackbox,C3,,0.259000,0.840863,0.810749,0.869309,1000
mistral7b_v03,triviaqa,blackbox,C4,max,0.285000,0.761708,0.728478,0.795204,1000
mistral7b_v03,triviaqa,whitebox,C1,,0.269000,0.747288,0.714273,0.781030,1000
mistral7b_v03,triviaqa,whitebox,C2,,0.269000,0.662549,0.626117,0.701692,1000
mistral7b_v03,triviaqa,whitebox,C3,,0.261000,0.694280,0.658510,0.731239,1000
mistral7b_v03,triviaqa,whitebox,C4,max,0.285000,0.677468,0.640072,0.713108,1000
mistral7b_v03,nqopen,blackbox,C1,,0.442000,0.727568,0.695642,0.758330,1000
mistral7b_v03,nqopen,blackbox,C2,,0.414000,0.671440,0.636698,0.703159,1000
mistral7b_v03,nqopen,blackbox,C3,,0.461000,0.762447,0.732267,0.792621,1000
mistral7b_v03,nqopen,blackbox,C4,max,0.441000,0.685351,0.651549,0.718035,1000
mistral7b_v03,nqopen,whitebox,C1,,0.453000,0.691248,0.657123,0.726215,1000
mistral7b_v03,nqopen,whitebox,C2,,0.412000,0.694526,0.660144,0.727505,1000
mistral7b_v03,nqopen,whitebox,C3,,0.453000,0.683495,0.648933,0.715933,1000
mistral7b_v03,nqopen,whitebox,C4,max,0.441000,0.588356,0.552065,0.623608,1000
mistral7b_v03,morehopqa,blackbox,C1,,0.823000,0.524607,0.476920,0.572246,1000
mistral7b_v03,morehopqa,blackbox,C2,,0.670000,0.555106,0.514958,0.592505,1000
mistral7b_v03,morehopqa,blackbox,C3,,0.806000,0.680355,0.638872,0.720950,1000
mistral7b_v03,morehopqa,blackbox,C4,max,0.827000,0.579957,0.532985,0.626365,1000
mistral7b_v03,morehopqa,whitebox,C1,,0.815000,0.483721,0.438948,0.529055,1000
mistral7b_v03,morehopqa,whitebox,C2,,0.655000,0.511012,0.473970,0.550008,1000
mistral7b_v03,morehopqa,whitebox,C3,,0.827000,0.543849,0.497731,0.589727,1000
mistral7b_v03,morehopqa,whitebox,C4,max,0.827000,0.577951,0.531523,0.623331,1000
