model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
llama31_8b,triviaqa,blackbox,C3 - C2,C3,,C2,,0.864022,0.709474,0.154549,0.106428,0.202108,0.000000,1000,False,0.239000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C2,C4,max,C2,,0.677258,0.709474,-0.032215,-0.091278,0.020820,0.227000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C3,C4,max,C3,,0.677258,0.864022,-0.186764,-0.233890,-0.141303,0.000000,1000,False,0.265000,0.239000,2000,0
llama31_8b,triviaqa,blackbox,C2 - C1,C2,,C1,,0.709474,0.843151,-0.133677,-0.184718,-0.080029,0.000000,1000,False,0.190000,0.244000,2000,0
llama31_8b,triviaqa,blackbox,C3 - C1,C3,,C1,,0.864022,0.843151,0.020871,-0.012595,0.057993,0.205000,1000,False,0.239000,0.244000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.677258,0.629254,0.048004,0.015922,0.081584,0.004000,1000,True,0.265000,0.265000,2000,0
llama31_8b,triviaqa,blackbox,C4:mean - C2,C4,mean,C2,,0.629254,0.709474,-0.080219,-0.138494,-0.029193,0.005000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.709474,0.662794,0.046680,0.034132,0.059593,0.000000,1000,True,0.190000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.709474,0.792261,-0.082788,-0.125286,-0.038275,0.000000,1000,True,0.190000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.864022,0.662794,0.201228,0.152984,0.249465,0.000000,1000,False,0.239000,0.190000,2000,0
