model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,prr_a,prr_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
llama31_8b,triviaqa,blackbox,C3 - C2,C3,,C2,,0.807157,0.396112,0.411045,0.269398,0.554160,0.000000,1000,False,0.239000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C2,C4,max,C2,,0.351621,0.396112,-0.044491,-0.217217,0.114435,0.569000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C3,C4,max,C3,,0.351621,0.807157,-0.455536,-0.578059,-0.343360,0.000000,1000,False,0.265000,0.239000,2000,0
llama31_8b,triviaqa,blackbox,C2 - C1,C2,,C1,,0.396112,0.762958,-0.366846,-0.513675,-0.213802,0.000000,1000,False,0.190000,0.244000,2000,0
llama31_8b,triviaqa,blackbox,C3 - C1,C3,,C1,,0.807157,0.762958,0.044199,-0.018236,0.113472,0.151000,1000,False,0.239000,0.244000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.351621,0.293635,0.057986,-0.030784,0.150210,0.191000,1000,True,0.265000,0.265000,2000,0
llama31_8b,triviaqa,blackbox,C4:mean - C2,C4,mean,C2,,0.293635,0.396112,-0.102477,-0.269485,0.056953,0.203000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.396112,0.312997,0.083115,0.064297,0.122813,0.000000,1000,True,0.190000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.396112,0.674987,-0.278875,-0.408859,-0.144891,0.000000,1000,True,0.190000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.807157,0.312997,0.494159,0.350866,0.655813,0.000000,1000,False,0.239000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.807157,0.674987,0.132170,0.044887,0.220671,0.001000,1000,False,0.239000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.351621,0.312997,0.038623,-0.133164,0.214403,0.593000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.351621,0.674987,-0.323366,-0.455092,-0.195738,0.000000,1000,False,0.265000,0.190000,2000,0
llama31_8b,triviaqa,whitebox,C3 - C2,C3,,C2,,0.724916,0.495168,0.229748,0.130371,0.334416,0.000000,1000,False,0.246000,0.189000,2000,0
llama31_8b,triviaqa,whitebox,C4:max - C2,C4,max,C2,,0.632734,0.495168,0.137566,0.024243,0.252910,0.019000,1000,False,0.265000,0.189000,2000,0
llama31_8b,triviaqa,whitebox,C4:max - C3,C4,max,C3,,0.632734,0.724916,-0.092182,-0.188745,0.002421,0.060000,1000,False,0.265000,0.246000,2000,0
llama31_8b,triviaqa,whitebox,C2 - C1,C2,,C1,,0.495168,0.646157,-0.150988,-0.270101,-0.033388,0.015000,1000,False,0.189000,0.243000,2000,0
llama31_8b,triviaqa,whitebox,C3 - C1,C3,,C1,,0.724916,0.646157,0.078759,-0.016674,0.176422,0.101000,1000,False,0.246000,0.243000,2000,0
llama31_8b,triviaqa,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.632734,0.590777,0.041957,-0.019634,0.102240,0.202000,1000,True,0.265000,0.265000,2000,0
llama31_8b,triviaqa,whitebox,C4:mean - C2,C4,mean,C2,,0.590777,0.495168,0.095609,-0.024804,0.222899,0.128000,1000,False,0.265000,0.189000,2000,0
llama31_8b,triviaqa,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.632734,0.642068,-0.009334,-0.076513,0.058704,0.801000,1000,True,0.265000,0.265000,2000,0
llama31_8b,triviaqa,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.642068,0.495168,0.146900,0.038996,0.260107,0.010000,1000,False,0.265000,0.189000,2000,0
llama31_8b,triviaqa,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.495168,0.316126,0.179042,0.028434,0.345068,0.028000,1000,False,0.189000,0.190000,2000,0
llama31_8b,triviaqa,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.495168,0.473135,0.022033,-0.093529,0.148152,0.727000,1000,True,0.189000,0.189000,2000,0
