model,dataset,signal,condition,n_questions,mean_gen_tokens,median_gen_tokens,sd_gen_tokens,mean_fwd_tokens,median_fwd_tokens,mean_total_tokens,fwd_share_of_total,mean_prompt_tokens,mean_t_seconds,auroc
llama31_8b,triviaqa,blackbox,C1,1000,274.877000,258.500000,103.476361,0.000000,0.000000,274.877000,0.000000,66.382000,9.372017,0.843151
llama31_8b,triviaqa,blackbox,C2,1000,1205.376000,1190.500000,229.853007,0.000000,0.000000,1205.376000,0.000000,90.473000,35.523283,0.709474
llama31_8b,triviaqa,blackbox,C3,1000,1060.712000,1026.500000,252.227052,0.000000,0.000000,1060.712000,0.000000,102.473000,29.020841,0.864022
llama31_8b,triviaqa,blackbox,C4,1000,2069.034000,2060.000000,252.454741,0.000000,0.000000,2069.034000,0.000000,,15.656886,0.677258
llama31_8b,triviaqa,whitebox,C1,1000,263.261000,251.000000,100.714976,917.081000,898.000000,1180.342000,0.776962,66.382000,1.704825,0.781801
llama31_8b,triviaqa,whitebox,C2,1000,1192.887000,1182.000000,232.592634,2087.617000,2063.000000,3280.504000,0.636371,90.473000,6.697930,0.691712
llama31_8b,triviaqa,whitebox,C3,1000,1048.391000,1008.500000,258.237985,2063.121000,2016.000000,3111.512000,0.663061,102.473000,6.770959,0.820879
llama31_8b,triviaqa,whitebox,C4,1000,2069.034000,2060.000000,252.454741,6023.064000,5934.000000,8092.098000,0.744314,,8.890050,0.784557
llama31_8b,nqopen,blackbox,C1,1000,365.854000,364.500000,123.644129,0.000000,0.000000,365.854000,0.000000,58.308000,8.341889,0.727875
llama31_8b,nqopen,blackbox,C2,1000,1342.048000,1320.500000,257.688271,0.000000,0.000000,1342.048000,0.000000,83.305000,27.997107,0.644902
llama31_8b,nqopen,blackbox,C3,1000,1203.508000,1180.000000,257.318217,0.000000,0.000000,1203.508000,0.000000,95.305000,25.786378,0.742304
llama31_8b,nqopen,blackbox,C4,1000,2241.341000,2263.000000,259.818803,0.000000,0.000000,2241.341000,0.000000,,12.466458,0.642215
llama31_8b,nqopen,whitebox,C1,1000,357.535000,354.000000,125.336986,930.615000,929.000000,1288.150000,0.722443,58.308000,1.629971,0.739646
llama31_8b,nqopen,whitebox,C2,1000,1336.285000,1312.500000,260.381294,2159.335000,2133.000000,3495.620000,0.617726,83.305000,5.609162,0.671985
llama31_8b,nqopen,whitebox,C3,1000,1200.180000,1174.000000,262.611493,2143.230000,2114.000000,3343.410000,0.641031,95.305000,5.258276,0.742663
llama31_8b,nqopen,whitebox,C4,1000,2241.341000,2263.000000,259.818803,6472.881000,6490.000000,8714.222000,0.742795,,7.394199,0.707190
llama31_8b,morehopqa,blackbox,C1,1000,338.664000,317.000000,93.830023,0.000000,0.000000,338.664000,0.000000,75.232000,8.146002,0.365630
llama31_8b,morehopqa,blackbox,C2,1000,1562.367000,1518.500000,465.861992,0.000000,0.000000,1562.367000,0.000000,99.234000,33.430167,0.545577
llama31_8b,morehopqa,blackbox,C3,1000,1625.717000,1565.000000,448.706513,0.000000,0.000000,1625.717000,0.000000,111.234000,33.948465,0.681401
llama31_8b,morehopqa,blackbox,C4,1000,3273.535000,3600.500000,951.529181,0.000000,0.000000,3273.535000,0.000000,,17.792145,0.590149
llama31_8b,morehopqa,whitebox,C1,1000,327.313000,311.500000,94.390002,1069.633000,1055.000000,1396.946000,0.765694,75.232000,1.628778,0.465034
llama31_8b,morehopqa,whitebox,C2,1000,1560.161000,1522.000000,458.252324,2542.501000,2488.000000,4102.662000,0.619720,99.234000,7.429775,0.644226
llama31_8b,morehopqa,whitebox,C3,1000,1618.934000,1561.500000,445.965390,2721.274000,2661.000000,4340.208000,0.626992,111.234000,7.665391,0.638517
llama31_8b,morehopqa,whitebox,C4,1000,3273.535000,3600.500000,951.529181,11894.268000,13213.000000,15167.803000,0.784179,,11.154286,0.648775
mistral7b_v03,triviaqa,blackbox,C1,1000,260.540000,240.000000,109.688459,0.000000,0.000000,260.540000,0.000000,38.890000,7.223619,0.796265
mistral7b_v03,triviaqa,blackbox,C2,1000,979.494000,950.000000,229.531459,0.000000,0.000000,979.494000,0.000000,67.890000,24.524664,0.721801
mistral7b_v03,triviaqa,blackbox,C3,1000,876.207000,853.000000,215.449044,0.000000,0.000000,876.207000,0.000000,80.890000,21.642741,0.840863
mistral7b_v03,triviaqa,blackbox,C4,1000,2213.624000,2251.500000,267.372139,0.000000,0.000000,2213.624000,0.000000,,14.784387,0.761708
mistral7b_v03,triviaqa,whitebox,C1,1000,251.186000,230.500000,110.786032,633.097000,602.000000,884.283000,0.715944,38.890000,1.494559,0.747288
mistral7b_v03,triviaqa,whitebox,C2,1000,970.455000,943.000000,228.230254,1636.408000,1605.000000,2606.863000,0.627731,67.890000,5.206186,0.662549
mistral7b_v03,triviaqa,whitebox,C3,1000,864.667000,837.000000,219.230546,1664.268000,1624.000000,2528.935000,0.658090,80.890000,5.127052,0.694280
mistral7b_v03,triviaqa,whitebox,C4,1000,2213.624000,2251.500000,267.372139,5529.638000,5499.000000,7743.262000,0.714123,,8.797584,0.677468
mistral7b_v03,nqopen,blackbox,C1,1000,307.243000,284.500000,117.450094,0.000000,0.000000,307.243000,0.000000,29.251000,8.752498,0.727568
mistral7b_v03,nqopen,blackbox,C2,1000,980.411000,944.500000,244.594036,0.000000,0.000000,980.411000,0.000000,58.251000,25.436220,0.671440
mistral7b_v03,nqopen,blackbox,C3,1000,935.072000,904.500000,240.574918,0.000000,0.000000,935.072000,0.000000,71.251000,25.191764,0.762447
mistral7b_v03,nqopen,blackbox,C4,1000,2277.912000,2314.500000,260.698416,0.000000,0.000000,2277.912000,0.000000,,15.256897,0.685351
mistral7b_v03,nqopen,whitebox,C1,1000,297.973000,273.500000,118.670076,582.155000,564.000000,880.128000,0.661444,29.251000,1.832929,0.691248
mistral7b_v03,nqopen,whitebox,C2,1000,971.550000,923.000000,245.267853,1542.787000,1493.000000,2514.337000,0.613596,58.251000,5.227345,0.694526
mistral7b_v03,nqopen,whitebox,C3,1000,926.173000,889.000000,239.958987,1628.626000,1596.500000,2554.799000,0.637477,71.251000,5.058331,0.683495
mistral7b_v03,nqopen,whitebox,C4,1000,2277.912000,2314.500000,260.698416,5190.476000,5142.000000,7468.388000,0.694993,,9.171544,0.588356
mistral7b_v03,morehopqa,blackbox,C1,1000,470.286000,482.500000,98.990683,0.000000,0.000000,470.286000,0.000000,48.284000,10.581126,0.524607
mistral7b_v03,morehopqa,blackbox,C2,1000,1709.392000,1685.500000,430.975264,0.000000,0.000000,1709.392000,0.000000,77.284000,33.635342,0.555106
mistral7b_v03,morehopqa,blackbox,C3,1000,1613.766000,1598.500000,440.689563,0.000000,0.000000,1613.766000,0.000000,90.284000,32.014462,0.680355
mistral7b_v03,morehopqa,blackbox,C4,1000,3779.311000,3997.000000,670.818312,0.000000,0.000000,3779.311000,0.000000,,18.988687,0.579957
mistral7b_v03,morehopqa,whitebox,C1,1000,461.913000,476.500000,101.113042,935.340000,933.500000,1397.253000,0.669413,48.284000,1.994852,0.483721
mistral7b_v03,morehopqa,whitebox,C2,1000,1705.804000,1698.000000,428.410601,2461.965000,2442.000000,4167.769000,0.590715,77.284000,7.387580,0.511012
mistral7b_v03,morehopqa,whitebox,C3,1000,1596.797000,1562.500000,433.014586,2484.113000,2445.000000,4080.910000,0.608715,90.284000,6.992007,0.543849
mistral7b_v03,morehopqa,whitebox,C4,1000,3779.311000,3997.000000,670.818312,11793.898000,12201.000000,15573.209000,0.757320,,11.759168,0.577951
